"ID","Use","General Category","AC/A","AC/C-1","AC/R-2A","AF","AGR","BA","BI","BT","BUS","CCD","CON","CP","ED","I-1","I-2","MD","MH","MU-1","MU-2","OF","OR","PD","PS","RC","RH-1","RH-2","RMF-5","RMF-6","RMF-7","RMF-8","RMU","ROW","RSF-1","RSF-2","RSF-3","RSF-4","UMU-1","UMU-2","W"
209,"Newspaper—Local office for o/c paper ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
210,"Nightclub",,"N","N","N","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
211,"Notary public:",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
212,"Photo or film dev./not otherwise lic ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
213,"Photographer ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
214,"Physical/speech therapy ",,"N","N","N","Y","N","N","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
215,"Piano/organ tuner ",,"N","N","N","N","N","N","Y","N","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
216,"Places of Religious Assembly",,"N","N","N","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","Y","N","Y","Y","Y","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
217,"Professional General",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
218,"Professional—Accountant/auditor ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
219,"Professional—Acupuncture ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
220,"Professional—Architect ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
221,"Professional—Artist ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
222,"Professional—Artist/tattoo ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
223,"Professional—Athletic trainer ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
224,"Professional—Attorney/lawyer ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
225,"Professional—Branch office ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
226,"Professional—Chemist ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
227,"Professional—Chiropractor ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
228,"Professional—Clinical social worker ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
229,"Professional—Consultant ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
230,"Professional—Dentist ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
231,"Professional—Direct disposer (cremation) ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
232,"Professional—Engineer/civil, consulting ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
234,"Professional—IT & Software Developer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,"Professional—Land surveyor ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
236,"Professional—Landscape architect ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
237,"Professional—Marriage & family therapist ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
238,"Professional—Mental health counselor ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
239,"Professional—Occupational therapist ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
240,"Professional—Optician filling prescrip. ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
241,"Professional—Optician/prescrip & lenses ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
242,"Professional—Optometrist ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
243,"Professional—Osteopathic physician ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
244,"Professional—Physician/surgeon (MD) ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
245,"Professional—Podiatrist ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
246,"Professional—Psychiatrist ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
247,"Professional—Psychologist ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
248,"Professional—Veterinarian ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
249,"Professional—Writer ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
250,"Promoter ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","N","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
251,"Publisher including graphics, etc ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","N","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
252,"Publisher—Agent ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","N","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
253,"Recording studio:",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","N","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
254,"Recreational vehicle/motor homes, trucks  sales",,"N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
255,"Recreational vehicle/trvl. trailers, etc  storage",,"N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
256,"Recycling company:",,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
257,"Rentals & Leasing Portable Buildings with outside storage",,"N","N","N","N","N","N","Y","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
258,"Rentals: Lleasing and Business:",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
259,"Rentals: Lleasing and Business with outside storage:",,"N","N","N","N","N","N","Y","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
260,"Rentals: Leasing of Equipment ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
261,"Rentals: Leasing of Equipment with outside storage",,"N","N","N","N","N","N","Y","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
262,"Rentals and Leasing—Portable toilets with storage",,"N","N","N","N","N","N","Y","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
263,"Rentals and Leasing—Portable toilets no storage",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
264,"Rentals and Leasing—Sanitary containers with storage",,"N","N","N","N","N","N","Y","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
265,"Rentals and Leasing—Sanitary containers no storage",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N"
266,"Rides/ferris wheels, etc.:",,"N","N","N","N","N","Y","Y","N","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N"
267,"Rinks—bicycles, skating, etc ",,"N","N","N","N","N","Y","Y","N","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N"
268,"Sanitarium, nursing home, etc ",,"N","N","N","N","N","N","Y","N","Y","Y","N","N","N","N","N","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N"
269,"School—Aircraft Classroom Only",,"N","N","N","N","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
270,"School—Animal care—Obedience & Training",,"N","N","N","N","N","N","Y","N","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
271,"School—Art studio ",,"N","N","N","N","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
272,"School—Automobile driving ",,"N","N","N","N","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
273,"School—Business ",,"N","N","N","N","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
274,"School—Cosmetology ",,"N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","Y","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N"
275,"School—Crafts ",,"N","N","N","N","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
276,"School—Dancing ",,"N","N","N","N","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
277,"School—Dramatic ",,"N","N","N","N","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
278,"School—Exercise ",,"N","N","N","N","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
279,"School—Karate/judo ",,"N","N","N","N","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
280,"School—Model or charm ",,"N","N","N","N","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
281,"School—Music (piano, voice, instrument) ",,"N","N","N","N","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
282,"School    Private School General Education",,"N","N","N","N","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
283,"School    Professional General",,"N","N","N","N","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
284,"School    Public General Education",,"N","N","N","N","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
285,"School—Real estate ",,"N","N","N","N","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
286,"School—Riding or academy ",,"N","N","N","N","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
287,"Service for the public:",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
288,"Service for the public—Repair:",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
289,"Service for the public—Sewer cleaning:",,"N","N","N","N","N","Y","Y","N","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
290,"Shooting gallery ",,"N","N","N","N","Y","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
291,"Show—Small animals/dog, pony, etc ",,"N","N","N","N","N","N","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
292,"Show—Wrestling, boxing, musicals, etc ",,"N","N","N","N","N","N","Y","N","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
293,"Shows Carnival and Circus ",,"N","N","N","N","N","Y","Y","N","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
294,"Show and Exhibit (freaks, curiosities, etc.) ",,"N","N","N","N","N","Y","Y","N","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
295,"Stenographer, typist, court reporter:",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
296,"Swimming pool",,"N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
297,"Tailor ",,"N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
298,"Taxidermist ",,"N","N","N","N","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","Y","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
299,"Telephone answering service ",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
300,"Theater with Seating",,"N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
301,"Theater/drive-in ",,"N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
302,"Ticket office",,"N","N","N","N","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
303,"Tour Guide or Company",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,"Mobile home camps, parks and trailers Trisients  7033",,"N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
305,"Mobile home parks:",,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
306,"Upholstery shop:",,"N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
307,"Watchman, guard or patrol agency:",,"N","N","N","Y","N","Y","Y","N","Y","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
308,"Fair—Other, certified by county",,"N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
309,"Fair—County",,"N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y"
